"filename", "language", "JSON with Comments", "TypeScript React", "TypeScript", "SVG", "JSON", "Markdown", "Ignore", "CSS", "comment", "blank", "total"
"/Users/claygiffin/Documents/@the-door/packages/common/src/hooks/useWindowDimensions.tsx", "TypeScript React", 0, 40, 0, 0, 0, 0, 0, 0, 0, 9, 49
"/Users/claygiffin/Documents/@the-door/packages/common/src/theme/GlobalStyles.tsx", "TypeScript React", 0, 149, 0, 0, 0, 0, 0, 0, 0, 7, 156
"/Users/claygiffin/Documents/@the-door/packages/common/src/theme/mixins.ts", "TypeScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 10, 84
"/Users/claygiffin/Documents/@the-door/packages/common/src/theme/variables.tsx", "TypeScript React", 0, 37, 0, 0, 0, 0, 0, 0, 6, 3, 46
"/Users/claygiffin/Documents/@the-door/packages/common/src/types/index.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"/Users/claygiffin/Documents/@the-door/packages/common/src/utils/index.tsx", "TypeScript React", 0, 109, 0, 0, 0, 0, 0, 0, 0, 16, 125
"/Users/claygiffin/Documents/@the-door/packages/common/tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/claygiffin/Documents/@the-door/packages/the-door/.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/claygiffin/Documents/@the-door/packages/the-door/.prettierrc", "JSON", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"/Users/claygiffin/Documents/@the-door/packages/the-door/README.md", "Markdown", 0, 0, 0, 0, 0, 57, 0, 0, 2, 33, 92
"/Users/claygiffin/Documents/@the-door/packages/the-door/gatsby-browser.tsx", "TypeScript React", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/claygiffin/Documents/@the-door/packages/the-door/gatsby-config.ts", "TypeScript", 0, 0, 68, 0, 0, 0, 0, 0, 11, 9, 88
